,link
72,https://kansaspolicy.org/
73,https://datasociety.net/output/searching-for-alternative-facts/
74,https://spectator.org/
75,https://www.vox.com/2018/9/14/17857622/twitter-liberal-employees-conservative-trump-politics
76,https://time.com/5630848/conservative-conference-avoids-trump/
77,https://www.theatlantic.com/politics/archive/2012/01/what-americans-mean-when-they-say-theyre-conservative/252099/
78,https://www.theartnewspaper.com/blog/new-culture-magazine-wants-your-anti-conservative-art
79,https://www.theartnewspaper.com/blog/new-culture-magazine-wants-your-anti-conservative-art
80,https://www.conservativecaucusde.org/
81,http://www.aei.org/multimedia/george-will-on-the-conservative-sensibility/
82,https://www.christianheadlines.com/blog/newsletter-accuses-taylor-university-of-abandoning-conservative-christian-values.html
83,https://www.conservativebookclub.com/subscribe
84,https://www.universityofcalifornia.edu/news/book-explores-labor-politics-and-conservative-right
85,https://www.rstreet.org/
86,https://lauraloomer.us/2019/07/28/twitter-allows-graphic-images-of-trump-being-murdered-on-platform-bans-conservatives/
87,https://www.diggitmagazine.com/column/how-really-talk-your-conservative-brother-law
88,http://www.tfp.org/tfp-to-cpac-be-consistent-be-conservative/
89,https://loupventures.com/tesla-earnings-preview-expect-conservative-march-guide/
90,https://www.multichannel.com/news/trump-accuses-social-media-of-dangerous-collusion-to-censor-conservatives
91,https://www.firstthings.com/
92,https://www.vanityfair.com/news/2018/08/steve-schmidt-podcast-words-matter-never-trump
93,https://www.grassrootinstitute.org/
94,https://www.broadcastingcable.com/news/court-lets-class-action-suit-alleging-google-conservative-bias-proceed
95,https://www.mndaily.com/article/2018/10/n-conservative-groups-bridge-mural-vandalized-for-third-year-in-a-row
96,https://www.sebgorka.com/column/the-only-option-they-had-as-pseudo-conservatives/
97,https://abovethelaw.com/2018/01/conservatives-wrong-stop-and-frisk/
98,http://www.msnbc.com/msnbc/rick-perry-trumps-candidacy-cancer-conservatism
99,https://jewsforjesus.org/publications/newsletter/newsletter-feb-1990/the-three-branches-of-judaism/
100,https://thecrimereport.org/2019/07/23/conservative-journal-what-mass-incarceration-problem/
101,https://theappeal.org/conservatives-are-obsessed-with-prosecutorial-overreach/
102,https://democracyjournal.org/arguments/politicians-think-voters-are-more-conservative-than-they-really-are/
103,https://www.pressherald.com/2019/03/21/trump-will-sign-executive-order-on-campus-free-speech/
104,https://collegian.com/2018/04/letter-to-the-editor-conservative-students-deserve-an-apology/
105,https://rivergrandrapids.com/gov-whitmer-goes-conservative-on-her-ncaa-basketball-brackets/
106,https://www.able-now.com/investment-options/
107,https://www.stitcher.com/podcast/american-conservative-university-podcast/e/56867141
108,https://newrepublic.com/article/148399/scourge-trumpism-conservative-journalism
109,https://www.smithsonianmag.com/history/wild-road-trip-rallied-conservatives-180970033/
110,https://twoguysfresno.blubrry.net/2019/04/10/two-guys-talk-fresno-with-conservative-michael-der-manouel/
111,https://theechonews.com/conservative-response-excalibur/
112,https://www.tothepointnews.com/
113,https://www.chroniclesmagazine.org/
114,https://www.velonews.com/2019/05/news/riders-defend-conservative-racing-in-opening-half-of-giro_494085
115,https://mcgop.com/about/groups/
116,https://www.recordernews.com/news/local-news/159855
117,https://edroso.substack.com/
118,https://thelensnola.org/2019/03/07/a-young-conservative-makes-the-case-for-ending-louisianas-death-penalty/
119,https://www.recordernews.com/news/local-news/159855
120,https://hiphopwired.com/774343/black-woman-pretends-gop-gofundme-republicans/
121,https://thelensnola.org/2019/03/07/a-young-conservative-makes-the-case-for-ending-louisianas-death-penalty/
122,https://jjie.org/2011/11/25/right-on-crime-conservative-focus-on-juvenile-justice/
123,https://www.stanislawskiandcompany.com/stanislawski-taxes-news/2018/4/26/conservatives-eye-new-tax-cut-for-capital-gains
124,https://bzbi.org/
125,https://www.getrevue.co/profile/benwhitelaw/issues/culturally-conservative-don-t-bother-applying-139465
126,https://www.mrc.org/
127,https://theweek.com/cartoons
128,https://www.washingtonpost.com/opinions/we-are-conservatives-we-urge-our-fellow-republicans-to-support-this-gun-safety-bill/2019/02/24/076b2516-36cc-11e9-854a-7a14d7fec96a_story.html
129,https://www.thedailybeast.com/former-miss-michigan-kathy-zhu-coming-out-as-conservative-is-harder-than-coming-out-as-gay
130,https://www.youtube.com/watch?v=7cUOY81wWcc
131,https://www.thecollegefix.com/study-finds-transgender-people-more-politically-conservative-than-straight-men/
132,https://books.google.com/books?id=8wYEAAAAMBAJ&pg=PA71&lpg=PA71&dq=intext:subscribe+intext:newsletter+conservative&source=bl&ots=_H8ChaaqPm&sig=ACfU3U3z_s2buD0Iotlcdv9jC2769LDvNQ&hl=en&sa=X&ved=2ahUKEwivze_9zdrjAhURWK0KHd7ZDmU4ggEQ6AEwA3oECAgQAQ
133,https://people.com/movies/kirstie-alley-bette-midler-joke-black-conservatives/
134,https://www.ilgergo.com/iten/conservative-sand-suede.html
135,https://www.660citynews.com/video/2019/04/24/what-the-conservative-win-in-p-e-i-could-mean-for-trudeau/
136,http://www.themorningnews.org/digest/reading/a_conservative_history_of_the_american_left.php
137,https://panampost.com/mamela-fiallo/2019/07/26/closet-conservative-gay/
138,https://www.propertynotify.co.uk/news/boris-johnson-elected-conservative-leader-by-a-wide-margin/
139,https://www.theepochtimes.com/uk-conservatives-pick-new-prime-minister_3012101.html
140,https://books.google.com/books?id=7AYEAAAAMBAJ&pg=PA125&lpg=PA125&dq=intext:subscribe+intext:newsletter+conservative&source=bl&ots=ATUz_U3BYC&sig=ACfU3U1x5Daj3hn-jm2KtrDmAO0_O0mSGQ&hl=en&sa=X&ved=2ahUKEwicgqr-zdrjAhUPOa0KHfvoBF44jAEQ6AEwAXoECAcQAQ
141,https://books.google.com/books?id=4fFfD-vp-HwC&pg=PA160&lpg=PA160&dq=intext:subscribe+intext:newsletter+conservative&source=bl&ots=Z0BMrxDyo_&sig=ACfU3U0NZs3RvYi9EJ-MRZ8Fnfjkln7igw&hl=en&sa=X&ved=2ahUKEwicgqr-zdrjAhUPOa0KHfvoBF44jAEQ6AEwAnoECAgQAQ
142,https://books.google.com/books?id=R6LjSSXUcXQC&pg=PA125&lpg=PA125&dq=intext:subscribe+intext:newsletter+conservative&source=bl&ots=i71dWn7XbP&sig=ACfU3U1Se9HE1uHmDj3hKwcqNKaLHE9D7Q&hl=en&sa=X&ved=2ahUKEwicgqr-zdrjAhUPOa0KHfvoBF44jAEQ6AEwA3oECAkQAQ
143,https://www.timesherald.com/news/national/warren-used-to-be-a-conservative-this-changed-her-mind/video_0b6ed129-d252-5d9a-9988-84413787397f.html
144,http://www.financetwitter.com/2016/05/zuckerberg-the-brainwasher-facebook-decides-what-news-you-should-read.html/facebook-bias-anti-conservative-news
145,https://nationalinterest.org/blog/buzz/republican-party-transforming-right-our-very-eyes-69836
146,https://www.huffingtonpost.co.uk/entry/new-conservative-party-ministers_uk_5d3b4392e4b0c31569ea96dd
147,https://www.bloomberg.com/news/articles/2019-07-29/johnson-s-brexit-plans-face-scottish-barrier
148,https://www.thestar.com/politics/federal/2019/07/29/at-least-20-people-donated-max-to-both-liberals-and-conservatives-in-2018-analysis-finds.html
149,https://www.todayonline.com/world/uk-conservatives-surge-opinion-poll-johnson-becomes-pm
150,https://www.todayonline.com/world/boris-johnson-set-become-next-uk-pm-conservatives-announce-new-leader
151,https://utahpolicy.com/index.php/features/today-at-utah-policy/21126-most-utahns-want-the-salt-lake-tribune-to-survive-but-just-over-a-quarter-say-they-read-it
152,https://www.gzeromedia.com/syria-the-rise-and-fallout-of-the-house-of-assad
153,https://realbusiness.co.uk/british-fds-favour-a-majority-conservative-government/
154,https://www.thepostmillennial.com/catherine-mckenna-attacks-conservative-campaign-staff-ignores-return-of-butts/
155,https://www.prospectmagazine.co.uk/politics/moderate-conservatives-now-face-the-starkest-choice-of-their-political-careers
156,https://foreignpolicy.com/2019/07/29/tea-party-stalwart-to-replace-dan-coats-as-intelligence-chief/
157,https://www.bloombergquint.com/gadfly/republican-conservatism-after-trump
158,https://documentedny.com/2019/07/29/early-arrival-civil-rights-group-sue-county-over-sending-ice-voter-data/
159,https://buffalonews.com/2019/07/29/parlato-vows-unapologetic-conservative-voice-in-bid-for-collins-seat/
160,https://www.centralmaine.com/2019/07/29/view-from-away-will-johnson-be-next-prime-minister-to-be-undone-by-brexit/
161,https://www.usatoday.com/story/opinion/2019/07/29/2020-democratic-candidates-should-reconsider-centrism-beat-trump-column/1814850001/
162,https://ricochet.com/podcast/three-martini-lunch/bidens-age-old-dilemma-rahm-sounds-2020-alarm-schiffs-mueller-madness/
163,https://www.businesspost.ie/news/people-become-conservative-grow-older-became-liberal-449073
164,https://douglasducote.com/video-archive/urgent-breaking-news-conservatives-under-attack/
165,https://www.thepeterboroughexaminer.com/news-story/9520773-conservative-candidate-mike-skinner-opens-campaign-office/
166,http://www.rh.gatech.edu/news/623759/hackers-could-use-connected-cars-gridlock-whole-cities
167,https://airqualitynews.com/2019/07/29/bath-secures-10m-for-clean-air-zone/
168,https://www.theglobeandmail.com/canada/article-at-least-20-people-donated-maximum-amounts-to-both-liberals-and/
169,https://waste-management-world.com/a/cewep-s-peer-reviewed-circular-economy-calculation-tool
170,https://www.themds.com/companies/tendam-ceo-reveals-change-in-strategy-before-presentation-of-results.html
171,https://www.econlib.org/news-from-2021/
172,https://www.eurasiagroup.net/live-post/uk-prime-minister-boris-johnson-hardball-brexit
173,https://washingtonmonthly.com/2019/07/27/can-sheer-force-of-personality-solve-brexit/
174,https://trueconservativepundit.com/2019/07/29/headline-news-07-29-2019/
175,https://trueconservativepundit.com/2019/07/29/his-protecting-presence-2/
176,https://www.theneweuropean.co.uk/top-stories/tory-councillor-defects-to-the-lib-dems-with-message-for-boris-johnson-1-6185463
177,https://www.cheshire-live.co.uk/news/uk-world-news/jacob-rees-moggs-mini-me-16662291
178,https://www.washingtonian.com/2019/07/29/10-things-i-learned-at-turning-point-usas-teen-summit/
179,https://todaysglobalnews.net/conservative-group-forces-irs-release-docs-targeting-lawsuit/
180,https://www.csis.org/analysis/resolved-japan-needs-two-party-system
181,https://www.politicsweb.co.za/subscribe/da-a-conservative-neoliberal-force-of-capital--ycl
182,https://www.governancenow.com/views/think-tanks/adbs-growth-estimate-india-conservative
183,https://www.ratecity.com.au/home-loans/deals/mortgage-house/mortgage-house-conservative-loan
184,https://idahopoliticsweekly.com/politics/2496-conservative-group-aims-for-middle-ground
185,https://www.congregationortzion.org/
